Name,Stream,Career_Path,Skills,Internship_Field,Courses_Completed,Industry,Salary_INR,Experience_Years,Current_Level,Previous_Role,Location,Certifications,Employment_Type,Remote_or_Onsite
James Hughes,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,LinkedIn Learning,Agriculture,1190897,3,Mid-Level,Intern,Kochi,Google Analytics,Internship,Hybrid
Hannah Walton,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,IT,588278,1,Junior,Intern,Kochi,,Internship,Onsite
Courtney Burgess,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,IBM Certification,Marine,717353,0,Mid-Level,Intern,Hyderabad,AWS,Freelance,Onsite
Gregory Mcneil,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Udemy,IT,436195,0,Senior,Junior Associate,Hyderabad,AWS,Internship,Remote
Timothy Stephenson,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Skillshare,Media,1189963,5,Intern,Student,Bangalore,Cisco,Full-Time,Remote
Kimberly Schmidt,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Coursera,Education,356393,7,Intern,Student,Bangalore,Google Analytics,Freelance,Hybrid
Margaret Shaw,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Udemy,Manufacturing,1502620,7,Senior,Student,Kochi,Microsoft,Full-Time,Hybrid
Lisa Johnson,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Google Certification,Manufacturing,1775619,7,Junior,Intern,Chennai,Google Analytics,Internship,Onsite
Norman Meyer,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Skillshare,Construction,812532,13,Senior,Student,Delhi,,Contract,Hybrid
Allison Kennedy,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Udemy,Marine,612367,13,Senior,Student,Pune,Microsoft,Internship,Onsite
Matthew Kramer,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,LinkedIn Learning,Healthcare,2239673,13,Mid-Level,Intern,Visakhapatnam,Google Analytics,Full-Time,Remote
Brendan Martinez,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Coursera,Agriculture,1958064,4,Mid-Level,Student,Visakhapatnam,AWS,Full-Time,Onsite
Hannah Carter,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,LinkedIn Learning,Healthcare,1615564,5,Intern,Student,Visakhapatnam,Google Analytics,Internship,Onsite
Zachary Williams,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Skillshare,Marine,541376,0,Mid-Level,Trainee,Chennai,AWS,Freelance,Hybrid
William Marquez,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,LinkedIn Learning,Education,869868,3,Mid-Level,Junior Associate,Chennai,Google Analytics,Full-Time,Onsite
Kristi Moran,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,NPTEL,Media,1542318,5,Mid-Level,Student,Pune,AWS,Contract,Onsite
Michael Nielsen,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Coursera,Education,1086278,13,Mid-Level,Intern,Mumbai,AWS,Contract,Hybrid
Robert Warner,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,NPTEL,Automobile,2076211,8,Junior,Trainee,Coimbatore,Cisco,Full-Time,Onsite
Jay Cohen,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Google Certification,Marine,668739,9,Senior,Intern,Mumbai,CompTIA Security+,Contract,Onsite
Jeffrey Hunter,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Udemy,Manufacturing,1044787,2,Senior,Trainee,Coimbatore,,Contract,Hybrid
Jill Doyle,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Google Certification,Education,2145801,11,Junior,Trainee,Hyderabad,Cisco,Freelance,Hybrid
Eduardo Gutierrez,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,NPTEL,Media,1687290,4,Intern,Student,Chennai,Google Analytics,Full-Time,Remote
Mrs. Cynthia Bailey,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,NPTEL,IT,2446564,5,Intern,Student,Delhi,AWS,Full-Time,Remote
Beth Robles,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Google Certification,IT,1492669,8,Mid-Level,Student,Hyderabad,CompTIA Security+,Freelance,Hybrid
Margaret Stephens,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,IBM Certification,Healthcare,407788,13,Junior,Student,Delhi,Google Analytics,Freelance,Remote
Christina Smith,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,NPTEL,Education,580553,13,Junior,Intern,Pune,CompTIA Security+,Full-Time,Remote
Jamie Ortiz DDS,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Udemy,Agriculture,1464528,14,Senior,Student,Kochi,Microsoft,Internship,Hybrid
Cynthia Carter,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Coursera,Automobile,1521514,8,Senior,Intern,Bangalore,AWS,Freelance,Onsite
Nicholas Burns,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,IBM Certification,Education,1817954,1,Intern,Junior Associate,Hyderabad,,Internship,Onsite
William Dodson,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Construction,481451,2,Mid-Level,Trainee,Pune,,Freelance,Hybrid
James Stewart,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Google Certification,IT,1823580,11,Mid-Level,Intern,Kochi,,Internship,Onsite
Luke Moreno,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,IBM Certification,Construction,1049023,13,Mid-Level,Junior Associate,Delhi,Microsoft,Full-Time,Onsite
Robin Simmons,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,IBM Certification,Healthcare,951977,0,Mid-Level,Student,Bangalore,AWS,Internship,Remote
Jerry Gonzalez,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Udemy,Manufacturing,1157452,2,Junior,Intern,Pune,Cisco,Internship,Onsite
Heather Vincent,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Marine,2092047,13,Junior,Student,Coimbatore,AWS,Full-Time,Onsite
Taylor Collins,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,LinkedIn Learning,Manufacturing,1934122,1,Junior,Intern,Pune,AWS,Contract,Remote
Beth Arellano DVM,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Skillshare,Media,1013609,1,Mid-Level,Trainee,Bangalore,CompTIA Security+,Full-Time,Onsite
Mary Mason,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Coursera,Agriculture,475917,11,Mid-Level,Junior Associate,Chennai,CompTIA Security+,Contract,Hybrid
Sarah Torres,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,Automobile,2437223,11,Mid-Level,Junior Associate,Kochi,Cisco,Internship,Hybrid
Kristi Hernandez,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,NPTEL,Education,1596824,5,Mid-Level,Student,Visakhapatnam,,Full-Time,Onsite
Sandra Jones,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,Agriculture,795726,11,Senior,Junior Associate,Coimbatore,Cisco,Full-Time,Remote
Katherine Garcia,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Coursera,Construction,808659,7,Mid-Level,Student,Hyderabad,Cisco,Internship,Hybrid
Peter Andrade,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,NPTEL,Construction,2119650,10,Mid-Level,Intern,Delhi,AWS,Full-Time,Hybrid
Nicholas Gomez,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,NPTEL,Manufacturing,1009271,3,Intern,Trainee,Delhi,Cisco,Contract,Remote
Eric Collins,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Marine,259287,3,Mid-Level,Junior Associate,Bangalore,Google Analytics,Full-Time,Hybrid
Lisa Garcia,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,IT,404189,14,Junior,Trainee,Pune,Google Analytics,Freelance,Remote
Wesley Lewis,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,Healthcare,1408391,4,Intern,Student,Coimbatore,AWS,Freelance,Remote
Mary Fowler,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,IBM Certification,Construction,335157,14,Senior,Student,Delhi,CompTIA Security+,Full-Time,Hybrid
Terry Cline,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Udemy,IT,680585,4,Senior,Junior Associate,Coimbatore,Google Analytics,Internship,Onsite
Jennifer Thompson,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,IBM Certification,IT,1563454,4,Junior,Intern,Visakhapatnam,Cisco,Internship,Hybrid
Judy Pruitt,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Coursera,Construction,2253775,7,Junior,Junior Associate,Hyderabad,CompTIA Security+,Internship,Remote
Kathryn Davis,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Skillshare,Agriculture,1569601,14,Mid-Level,Student,Hyderabad,CompTIA Security+,Contract,Remote
Mark Liu,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Coursera,Education,2115969,11,Intern,Intern,Pune,Cisco,Freelance,Remote
Darren Choi,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,NPTEL,Marine,1313837,0,Senior,Trainee,Pune,Google Analytics,Full-Time,Hybrid
Connor Watson,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Marine,1613962,6,Junior,Intern,Mumbai,CompTIA Security+,Contract,Remote
Joy Hernandez,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,IBM Certification,Agriculture,2174937,7,Intern,Student,Chennai,Microsoft,Internship,Onsite
Paul Sanders,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Udemy,Finance,1026487,15,Junior,Student,Coimbatore,AWS,Freelance,Hybrid
Corey Kaiser,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,LinkedIn Learning,Automobile,1095704,9,Mid-Level,Intern,Hyderabad,Google Analytics,Freelance,Onsite
Philip Salinas,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,NPTEL,IT,558009,14,Mid-Level,Intern,Kochi,CompTIA Security+,Freelance,Onsite
Rita Lewis,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Udemy,Construction,652173,7,Mid-Level,Intern,Hyderabad,CompTIA Security+,Full-Time,Hybrid
Elijah Jackson,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Manufacturing,2223116,14,Mid-Level,Junior Associate,Coimbatore,AWS,Contract,Onsite
Kari Johnson,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,NPTEL,IT,2244885,6,Mid-Level,Student,Hyderabad,CompTIA Security+,Full-Time,Remote
Michelle Watkins,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Skillshare,Finance,1629703,6,Junior,Junior Associate,Mumbai,Cisco,Contract,Remote
Deborah Carpenter,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Skillshare,Healthcare,2089139,15,Junior,Junior Associate,Mumbai,,Freelance,Onsite
Ricky Schneider,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,LinkedIn Learning,Media,2207782,8,Intern,Trainee,Chennai,CompTIA Security+,Internship,Onsite
Mr. Kenneth Robinson DDS,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,NPTEL,Construction,944379,7,Junior,Trainee,Visakhapatnam,Microsoft,Full-Time,Onsite
David Bolton,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Marine,730137,14,Senior,Student,Bangalore,Google Analytics,Full-Time,Remote
Collin Foster,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,IT,1750816,7,Mid-Level,Intern,Delhi,AWS,Internship,Onsite
Anthony George,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Udemy,Education,524641,12,Mid-Level,Trainee,Kochi,,Internship,Hybrid
Denise Bentley,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Skillshare,Agriculture,883348,2,Mid-Level,Student,Bangalore,Cisco,Freelance,Onsite
Joseph Chavez,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Google Certification,Manufacturing,1331118,15,Senior,Trainee,Pune,AWS,Contract,Onsite
Ms. Alexis Keller,Civil,Structural Engineer,"STAAD Pro, Structural Analysis, CAD",Structural Engineer,Google Certification,Healthcare,1881656,14,Junior,Junior Associate,Bangalore,Microsoft,Contract,Hybrid
Melanie Thomas,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,Skillshare,Marine,888650,10,Senior,Intern,Mumbai,Microsoft,Full-Time,Hybrid
Kayla Garcia,Civil,Site Engineer,"Construction, AutoCAD, Project Management",Site Engineer,LinkedIn Learning,Healthcare,1370019,12,Senior,Intern,Hyderabad,AWS,Full-Time,Remote
Jerry Price,Civil,Survey Engineer,"Surveying, GPS, Civil 3D",Survey Engineer,Coursera,Automobile,1377786,13,Senior,Student,Visakhapatnam,Cisco,Full-Time,Onsite
David Mccarthy,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Coursera,Education,2211221,8,Intern,Student,Mumbai,CompTIA Security+,Freelance,Remote
Yvonne Moreno,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,NPTEL,Automobile,1944449,15,Junior,Intern,Bangalore,CompTIA Security+,Contract,Onsite
Kimberly Spears,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Skillshare,Manufacturing,1940239,0,Junior,Trainee,Visakhapatnam,Google Analytics,Internship,Onsite
William Mitchell,Commerce,Accountant,"GST, Taxation, Tally",Accountant,IBM Certification,Marine,881122,2,Senior,Trainee,Kochi,CompTIA Security+,Full-Time,Remote
Philip Frost,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Coursera,Education,1623305,5,Senior,Student,Visakhapatnam,Google Analytics,Full-Time,Hybrid
Gabriela Chase,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Skillshare,Education,2409086,8,Senior,Trainee,Pune,,Internship,Remote
Tammy Davidson,Commerce,Accountant,"GST, Taxation, Tally",Accountant,NPTEL,Media,2106665,14,Junior,Intern,Visakhapatnam,CompTIA Security+,Freelance,Onsite
Anthony Williams,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Google Certification,Agriculture,1244580,14,Intern,Trainee,Hyderabad,CompTIA Security+,Contract,Remote
Crystal Lopez,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Udemy,IT,447129,9,Senior,Trainee,Hyderabad,CompTIA Security+,Contract,Remote
Kenneth Cooper,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Skillshare,Media,1103872,14,Mid-Level,Trainee,Chennai,Google Analytics,Freelance,Remote
Nicole Harvey,Commerce,Accountant,"GST, Taxation, Tally",Accountant,IBM Certification,Agriculture,1606950,10,Junior,Junior Associate,Kochi,,Internship,Hybrid
Michelle Velasquez,Commerce,Accountant,"GST, Taxation, Tally",Accountant,NPTEL,Construction,855470,5,Intern,Junior Associate,Coimbatore,AWS,Freelance,Onsite
Matthew Sweeney,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,NPTEL,Education,2246551,2,Junior,Trainee,Chennai,Google Analytics,Internship,Onsite
Alyssa Dean,Commerce,Accountant,"GST, Taxation, Tally",Accountant,LinkedIn Learning,Finance,1416660,11,Junior,Junior Associate,Chennai,Cisco,Internship,Remote
Ms. Wendy Mcintosh,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Coursera,Manufacturing,2399182,0,Senior,Trainee,Coimbatore,Microsoft,Internship,Remote
Amy Manning,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,LinkedIn Learning,Healthcare,1634880,12,Junior,Junior Associate,Chennai,CompTIA Security+,Contract,Remote
Michael Koch,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,IBM Certification,Construction,1263637,15,Intern,Junior Associate,Visakhapatnam,AWS,Internship,Onsite
Kristi Valencia,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Google Certification,Automobile,1194846,10,Senior,Trainee,Coimbatore,Cisco,Internship,Hybrid
Carol Alvarado,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,LinkedIn Learning,Media,2051046,6,Intern,Student,Chennai,AWS,Freelance,Onsite
Alicia Stephenson,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,IBM Certification,Marine,1547760,3,Intern,Intern,Visakhapatnam,Cisco,Contract,Hybrid
Virginia Taylor,Commerce,Accountant,"GST, Taxation, Tally",Accountant,IBM Certification,Finance,2036408,3,Senior,Trainee,Mumbai,CompTIA Security+,Internship,Onsite
Steven Davis,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Coursera,Finance,632549,12,Intern,Trainee,Bangalore,Microsoft,Full-Time,Remote
Dominique Lee,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Coursera,Finance,326704,8,Senior,Student,Kochi,,Internship,Remote
Steven Villanueva,Commerce,Accountant,"GST, Taxation, Tally",Accountant,LinkedIn Learning,Agriculture,639084,12,Junior,Junior Associate,Bangalore,Microsoft,Freelance,Hybrid
Stephanie Greene,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,NPTEL,Education,1490752,15,Junior,Student,Kochi,AWS,Freelance,Remote
Lance Hall,Commerce,Accountant,"GST, Taxation, Tally",Accountant,NPTEL,Agriculture,1520593,10,Junior,Student,Chennai,CompTIA Security+,Freelance,Remote
Gary Sherman,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,LinkedIn Learning,Agriculture,514515,8,Intern,Student,Chennai,Microsoft,Contract,Onsite
Margaret Donovan,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Skillshare,Automobile,539716,9,Junior,Junior Associate,Coimbatore,CompTIA Security+,Full-Time,Onsite
Leslie Stewart,Commerce,Accountant,"GST, Taxation, Tally",Accountant,NPTEL,Media,2171817,8,Junior,Intern,Visakhapatnam,,Internship,Hybrid
Molly Edwards,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,NPTEL,Healthcare,785786,8,Intern,Junior Associate,Chennai,CompTIA Security+,Full-Time,Remote
Marc Barnes,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Coursera,Finance,416610,15,Senior,Intern,Coimbatore,Microsoft,Contract,Hybrid
Brittany Roberts,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Coursera,Agriculture,974385,13,Senior,Student,Bangalore,AWS,Contract,Remote
Michael Bennett,Commerce,Accountant,"GST, Taxation, Tally",Accountant,IBM Certification,Construction,544885,13,Senior,Intern,Chennai,Cisco,Contract,Onsite
Brett Khan,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Google Certification,Finance,2471020,8,Mid-Level,Student,Mumbai,Cisco,Freelance,Hybrid
Jonathan Kramer,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Skillshare,Media,1092503,6,Intern,Trainee,Bangalore,AWS,Full-Time,Remote
Karen Lester,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Coursera,Finance,1434979,9,Intern,Trainee,Kochi,Google Analytics,Full-Time,Onsite
Carlos Pena,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Udemy,Finance,685816,5,Junior,Student,Hyderabad,Google Analytics,Contract,Hybrid
Todd Perry,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Udemy,Marine,646789,3,Senior,Intern,Pune,AWS,Freelance,Hybrid
Adrian Patterson,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Udemy,IT,2011458,2,Mid-Level,Junior Associate,Hyderabad,AWS,Freelance,Hybrid
Michael Anderson,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,IBM Certification,Automobile,1311271,9,Mid-Level,Student,Bangalore,Microsoft,Contract,Remote
Michele Strickland,Commerce,Accountant,"GST, Taxation, Tally",Accountant,LinkedIn Learning,Healthcare,337289,2,Senior,Trainee,Pune,Cisco,Full-Time,Hybrid
James Moore,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Skillshare,Finance,2304514,5,Mid-Level,Student,Pune,Cisco,Internship,Hybrid
David Hopkins,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Udemy,IT,1510658,1,Mid-Level,Trainee,Hyderabad,Cisco,Full-Time,Remote
Robert Yoder,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Skillshare,Marine,1774754,14,Intern,Trainee,Visakhapatnam,CompTIA Security+,Freelance,Remote
Linda Burch,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,LinkedIn Learning,Finance,2318779,13,Intern,Trainee,Coimbatore,Cisco,Full-Time,Remote
Bryan Williams,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,NPTEL,Media,1385845,7,Mid-Level,Junior Associate,Bangalore,Google Analytics,Full-Time,Hybrid
Shawn Ramirez,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Udemy,Finance,280354,6,Junior,Junior Associate,Coimbatore,Cisco,Full-Time,Hybrid
Eric Hart,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,LinkedIn Learning,Manufacturing,289414,13,Junior,Intern,Mumbai,Cisco,Freelance,Onsite
Sarah Levine,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,LinkedIn Learning,IT,2115060,15,Intern,Student,Chennai,Microsoft,Contract,Onsite
Allison Schwartz,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Coursera,IT,2492563,15,Junior,Intern,Pune,AWS,Freelance,Hybrid
Jonathan Rodriguez,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Skillshare,Agriculture,1530691,13,Mid-Level,Intern,Delhi,,Contract,Onsite
Joel Fletcher,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,IBM Certification,Healthcare,2217526,13,Senior,Intern,Coimbatore,Microsoft,Internship,Hybrid
Devin Harris,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,NPTEL,Education,2066472,7,Senior,Trainee,Delhi,CompTIA Security+,Internship,Remote
Carrie Adkins DDS,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Skillshare,Media,733425,14,Junior,Trainee,Hyderabad,CompTIA Security+,Contract,Remote
Kelly Vega,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Skillshare,Media,363725,5,Senior,Intern,Pune,CompTIA Security+,Full-Time,Hybrid
Brian Howard,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Coursera,Agriculture,859717,3,Junior,Intern,Pune,Cisco,Contract,Onsite
Kim Collins,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,IBM Certification,Healthcare,1147787,1,Senior,Student,Chennai,,Full-Time,Onsite
Steven King,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Google Certification,Agriculture,483596,8,Intern,Trainee,Chennai,Microsoft,Contract,Onsite
Mark Estrada,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,NPTEL,Education,2335131,0,Mid-Level,Junior Associate,Visakhapatnam,AWS,Freelance,Hybrid
Barbara Murray,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Udemy,IT,528924,8,Mid-Level,Student,Chennai,AWS,Contract,Hybrid
Felicia Walton,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Google Certification,Manufacturing,2396485,12,Senior,Student,Coimbatore,Google Analytics,Freelance,Hybrid
Eric Gomez,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Coursera,IT,2411212,2,Intern,Junior Associate,Pune,AWS,Internship,Hybrid
Shane Rich,Commerce,Accountant,"GST, Taxation, Tally",Accountant,LinkedIn Learning,Finance,2172348,8,Senior,Junior Associate,Chennai,CompTIA Security+,Full-Time,Onsite
Amanda Hernandez,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Google Certification,Healthcare,640288,11,Senior,Junior Associate,Delhi,AWS,Freelance,Hybrid
Gloria Parks,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Udemy,Education,508968,12,Mid-Level,Intern,Coimbatore,CompTIA Security+,Full-Time,Hybrid
Tina Ramsey,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,Udemy,Agriculture,1607419,5,Mid-Level,Trainee,Coimbatore,,Freelance,Onsite
Mitchell Schultz,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,LinkedIn Learning,Construction,432574,14,Intern,Student,Hyderabad,Google Analytics,Full-Time,Onsite
Shirley White,Commerce,Accountant,"GST, Taxation, Tally",Accountant,Google Certification,Marine,2389289,14,Intern,Trainee,Visakhapatnam,CompTIA Security+,Contract,Hybrid
Robert Rodriguez,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,Google Certification,Media,2310647,14,Mid-Level,Trainee,Kochi,AWS,Freelance,Hybrid
Rebecca Miller,Commerce,Accountant,"GST, Taxation, Tally",Accountant,NPTEL,Finance,1447154,8,Mid-Level,Student,Kochi,,Full-Time,Remote
Kenneth Rocha,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,IBM Certification,Agriculture,2272305,6,Junior,Student,Chennai,Cisco,Freelance,Onsite
Seth Burke,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,LinkedIn Learning,Healthcare,1470108,8,Senior,Intern,Delhi,Microsoft,Full-Time,Hybrid
Brian Conway,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,LinkedIn Learning,Marine,1335195,13,Junior,Junior Associate,Bangalore,,Freelance,Onsite
Clifford Deleon,Commerce,Accountant,"GST, Taxation, Tally",Accountant,LinkedIn Learning,Healthcare,2195619,8,Senior,Intern,Bangalore,,Internship,Onsite
Kathryn Scott,Commerce,Investment Banker,"Finance, Market Analysis, Excel",Investment Banker,NPTEL,IT,686151,12,Junior,Student,Kochi,CompTIA Security+,Contract,Hybrid
Maurice Daniels,Commerce,Accountant,"GST, Taxation, Tally",Accountant,IBM Certification,Automobile,406983,5,Mid-Level,Trainee,Coimbatore,Cisco,Internship,Onsite
Anthony Webb,Commerce,Financial Analyst,"Excel, Accounting, Power BI",Financial Analyst,NPTEL,Manufacturing,2155179,1,Mid-Level,Trainee,Chennai,Google Analytics,Freelance,Hybrid
